unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area
ponto_operacional,cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,cemiterio,,2,Cortel SP,3,False,500-1000m,500,1000,3459289.86,334,330,4,1331,99.62,77.62,1452.0,1351.0,1573.0,577.0,2288.0,1459.0,1447.02
ponto_operacional,cem_campo_grande,Cemitério Campo Grande,cemiterio,,3,Grupo Maya,2,False,0-250m,0,250,544259.03,48,48,0,208,100.0,77.22,2574.0,2454.75,2815.0,950.0,3754.0,2559.75,2615.32
ponto_operacional,cem_campo_grande,Cemitério Campo Grande,cemiterio,,3,Grupo Maya,2,False,250-500m,250,500,931016.31,82,82,0,369,100.0,79.34,2565.0,2319.0,2975.0,907.0,4033.0,2555.25,2622.8
ponto_operacional,cem_campo_grande,Cemitério Campo Grande,cemiterio,,3,Grupo Maya,2,False,500-1000m,500,1000,3036746.3,178,172,6,774,99.69,83.16,2406.0,1990.5,2897.0,828.0,4033.0,2392.25,2741.92
ponto_operacional,cem_lageado,Cemitério do Lageado,cemiterio,,3,Grupo Maya,3,False,0-250m,0,250,442660.95,34,34,0,150,100.0,54.7,630.5,561.75,820.0,426.0,937.0,634.0,678.35
ponto_operacional,cem_lageado,Cemitério do Lageado,cemiterio,,3,Grupo Maya,3,False,250-500m,250,500,829360.18,54,54,0,235,100.0,50.77,610.0,438.0,754.0,426.0,944.0,612.5,638.36
ponto_operacional,cem_lageado,Cemitério do Lageado,cemiterio,,3,Grupo Maya,3,False,500-1000m,500,1000,2834425.32,146,146,0,605,100.0,58.21,644.0,511.0,749.0,401.0,962.0,640.75,630.17
ponto_operacional,cem_lapa,Cemitério da Lapa,cemiterio,,3,Grupo Maya,1,False,0-250m,0,250,586049.17,69,67,2,248,99.55,72.06,4428.5,4287.75,4562.0,3207.0,9776.0,4439.0,4366.4
ponto_operacional,cem_lapa,Cemitério da Lapa,cemiterio,,3,Grupo Maya,1,False,250-500m,250,500,967750.38,87,86,1,338,99.98,77.37,4515.5,4205.0,4805.25,2877.0,11081.0,4527.75,4626.45
ponto_operacional,cem_lapa,Cemitério da Lapa,cemiterio,,3,Grupo Maya,1,False,500-1000m,500,1000,3103940.11,174,171,3,670,98.32,78.66,4510.5,3430.0,5128.0,1717.0,12627.0,4518.0,4563.12
ponto_operacional,cem_parelheiros,Cemitério de Parelheiros,cemiterio,,3,Grupo Maya,3,False,0-250m,0,250,281044.82,24,16,8,50,45.69,81.8,320.0,320.0,320.0,310.0,320.0,320.0,319.89
ponto_operacional,cem_parelheiros,Cemitério de Parelheiros,cemiterio,,3,Grupo Maya,3,False,250-500m,250,500,671657.24,35,27,8,91,42.11,88.98,320.0,320.0,320.0,262.0,320.0,320.0,319.66
ponto_operacional,cem_parelheiros,Cemitério de Parelheiros,cemiterio,,3,Grupo Maya,3,False,500-1000m,500,1000,2519320.96,74,57,17,188,53.4,91.33,320.0,320.0,320.0,159.0,320.0,320.0,319.54
ponto_operacional,cem_saudade,Cemitério da Saudade,cemiterio,,3,Grupo Maya,3,True,0-250m,0,250,586767.98,93,93,0,377,100.0,70.89,1160.0,962.0,1248.0,450.0,1652.0,1141.5,1107.91
ponto_operacional,cem_saudade,Cemitério da Saudade,cemiterio,,3,Grupo Maya,3,True,250-500m,250,500,969978.56,147,146,1,607,99.88,74.91,1165.0,1028.5,1251.0,442.0,1792.0,1143.0,1133.45
ponto_operacional,cem_saudade,Cemitério da Saudade,cemiterio,,3,Grupo Maya,3,True,500-1000m,500,1000,3113748.82,348,343,5,1477,99.74,75.21,1160.0,1046.0,1264.0,381.0,1820.0,1160.0,1197.87
ponto_operacional,cem_freguesia_do_o,Cemitério da Freguesia do Ó,cemiterio,,4,Velar SP,2,False,0-250m,0,250,332847.44,41,40,1,173,99.92,75.08,1638.0,1600.0,1753.0,1293.0,2419.0,1626.75,1658.73
ponto_operacional,cem_freguesia_do_o,Cemitério da Freguesia do Ó,cemiterio,,4,Velar SP,2,False,250-500m,250,500,723135.66,70,70,0,296,100.0,77.97,1655.5,1590.0,1860.0,959.0,2419.0,1634.75,1689.07
ponto_operacional,cem_freguesia_do_o,Cemitério da Freguesia do Ó,cemiterio,,4,Velar SP,2,False,500-1000m,500,1000,2622292.36,196,192,4,810,99.83,76.06,1658.0,1495.75,1808.5,930.0,2823.0,1665.5,1669.1
ponto_operacional,cem_itaquera,Cemitério de Itaquera,cemiterio,,4,Velar SP,3,False,0-250m,0,250,524837.03,55,54,1,207,93.35,80.79,1361.0,1030.5,1771.0,422.0,1979.0,1196.25,1368.97
ponto_operacional,cem_itaquera,Cemitério de Itaquera,cemiterio,,4,Velar SP,3,False,250-500m,250,500,916415.0,82,79,3,295,98.52,84.76,1641.0,1070.5,1810.0,420.0,1975.0,1150.5,1289.6
ponto_operacional,cem_itaquera,Cemitério de Itaquera,cemiterio,,4,Velar SP,3,False,500-1000m,500,1000,3008745.26,186,183,3,694,94.15,82.58,1220.5,1095.25,1755.0,471.0,1988.0,1196.5,1219.44
ponto_operacional,cem_penha,Cemitério da Penha,cemiterio,,4,Velar SP,2,False,0-250m,0,250,321863.11,30,30,0,136,100.0,77.25,1515.5,1361.5,1623.25,1115.0,3128.0,1516.5,1550.21
ponto_operacional,cem_penha,Cemitério da Penha,cemiterio,,4,Velar SP,2,False,250-500m,250,500,713929.26,63,62,1,286,99.99,78.44,1579.0,1493.0,1777.5,1115.0,3134.0,1571.25,1616.94
ponto_operacional,cem_penha,Cemitério da Penha,cemiterio,,4,Velar SP,2,False,500-1000m,500,1000,2604046.34,182,179,3,856,99.76,77.66,1562.0,1399.0,1713.0,588.0,3134.0,1554.0,1575.47
ponto_operacional,cem_sao_luiz,Cemitério São Luiz,cemiterio,,4,Velar SP,4,True,0-250m,0,250,751569.21,52,52,0,218,100.0,84.6,864.5,825.0,916.75,476.0,1679.0,857.25,859.98
ponto_operacional,cem_sao_luiz,Cemitério São Luiz,cemiterio,,4,Velar SP,4,True,250-500m,250,500,1112295.43,118,116,2,474,99.69,80.42,886.0,846.5,1064.5,476.0,1679.0,886.0,920.51
ponto_operacional,cem_sao_luiz,Cemitério São Luiz,cemiterio,,4,Velar SP,4,True,500-1000m,500,1000,3389490.97,272,269,3,1071,99.72,77.19,1079.0,970.0,1203.0,446.0,3045.0,1076.5,1063.14
ponto_operacional,cem_sao_pedro,Cemitério São Pedro,cemiterio,,4,Velar SP,2,False,0-250m,0,250,662856.76,42,41,1,180,99.75,76.38,1965.5,1615.0,2197.5,1270.0,3037.0,2000.0,1955.41
ponto_operacional,cem_sao_pedro,Cemitério São Pedro,cemiterio,,4,Velar SP,2,False,250-500m,250,500,1053086.15,98,96,2,404,99.9,78.54,2016.0,1672.0,2142.5,1155.0,3024.0,2031.0,1956.95
ponto_operacional,cem_sao_pedro,Cemitério São Pedro,cemiterio,,4,Velar SP,2,False,500-1000m,500,1000,3282571.79,282,278,4,1157,99.91,76.99,1832.0,1704.0,2080.0,746.0,3024.0,1817.25,1836.57
ponto_operacional,crem_vila_alpina,Crematório Vila Alpina,crematorio,,4,Velar SP,,True,0-250m,0,250,487372.4,23,23,0,94,100.0,78.36,2781.0,1933.5,2882.0,1393.0,3037.0,2828.0,1900.06
ponto_operacional,crem_vila_alpina,Crematório Vila Alpina,crematorio,,4,Velar SP,,True,250-500m,250,500,863308.56,69,68,1,283,99.81,76.59,2015.0,1807.0,2467.5,1393.0,3024.0,2026.0,2009.14
ponto_operacional,crem_vila_alpina,Crematório Vila Alpina,crematorio,,4,Velar SP,,True,500-1000m,500,1000,2900468.36,246,242,4,1045,99.96,76.91,2019.0,1780.0,2193.0,746.0,3013.0,2022.75,1960.3
complexo_territorial,complexo_vila_formosa,Complexo Vila Formosa I e II,complexo_cemiterial,Vila Formosa I e II,1,Consolare,4,True,0-250m,0,250,1183402.67,121,116,5,502,99.52,75.49,1639.5,1416.25,1830.0,716.0,2230.0,1613.75,1653.94
complexo_territorial,complexo_vila_formosa,Complexo Vila Formosa I e II,complexo_cemiterial,Vila Formosa I e II,1,Consolare,4,True,250-500m,250,500,1543947.06,190,177,13,756,98.51,75.8,1639.0,1403.0,1814.25,712.0,2260.0,1624.0,1619.33
complexo_territorial,complexo_vila_formosa,Complexo Vila Formosa I e II,complexo_cemiterial,Vila Formosa I e II,1,Consolare,4,True,500-1000m,500,1000,4248877.07,425,410,15,1712,97.94,73.3,1584.0,1347.75,1878.0,487.0,2979.0,1580.0,1588.29
complexo_territorial,complexo_vila_alpina,Complexo São Pedro e Crematório Vila Alpina,complexo_cemiterial,São Pedro e Crematório Vila Alpina,4,Velar SP,,True,0-250m,0,250,771382.65,51,50,1,214,99.78,74.58,2003.0,1661.5,2781.0,1270.0,3037.0,2031.0,1999.81
complexo_territorial,complexo_vila_alpina,Complexo São Pedro e Crematório Vila Alpina,complexo_cemiterial,São Pedro e Crematório Vila Alpina,4,Velar SP,,True,250-500m,250,500,1156873.38,107,105,2,445,99.91,76.87,2000.0,1701.0,2129.0,1155.0,3024.0,2012.0,1998.88
complexo_territorial,complexo_vila_alpina,Complexo São Pedro e Crematório Vila Alpina,complexo_cemiterial,São Pedro e Crematório Vila Alpina,4,Velar SP,,True,500-1000m,500,1000,3486005.59,314,309,5,1293,99.91,77.23,1863.0,1727.0,2127.0,746.0,3013.0,1833.0,1853.43
