cd_dist,distrito_ibge,renda_media_responsavel,renda_mediana_responsavel,populacao_branca,populacao_preta,populacao_amarela,populacao_parda,populacao_indigena,populacao_categorias_raca,proporcao_preta_parda
355030884,Vila Curuçá,2444.6,1800.0,63410.0,15727.0,687.0,60574.0,96.0,140494.0,0.5430908081483907
355030885,Vila Formosa,5941.89,3000.0,67136.0,5443.0,1755.0,17724.0,40.0,92098.0,0.25154726487002976
355030886,Vila Guilherme,5648.16,3500.0,35929.0,2684.0,921.0,12918.0,94.0,52546.0,0.29692079320975906
355030887,Vila Jacuí,2530.21,1800.0,59067.0,15623.0,775.0,58423.0,162.0,134050.0,0.5523759791122715
355030888,Vila Leopoldina,11075.3,8000.0,35969.0,1589.0,1982.0,6134.0,17.0,45691.0,0.1690267229870215
355030889,Vila Maria,3925.82,2000.0,60548.0,8685.0,1758.0,37136.0,324.0,108451.0,0.4225041723912182
355030890,Vila Mariana,12782.2,9600.0,98414.0,3073.0,13825.0,11460.0,23.0,126795.0,0.11461808430931819
355030891,Vila Matilde,4072.98,3000.0,65199.0,10155.0,2856.0,25155.0,110.0,103475.0,0.3412418458564871
355030892,Vila Medeiros,3042.82,2200.0,64564.0,10206.0,1146.0,38704.0,201.0,114821.0,0.42596737530591094
355030893,Vila Prudente,5294.91,3500.0,73454.0,5813.0,2813.0,23492.0,46.0,105618.0,0.2774621750080479
355030894,Vila Sônia,6973.23,4000.0,76491.0,9669.0,5268.0,32108.0,72.0,123608.0,0.3379797424114944
355030895,São Domingos,4422.16,2600.0,53016.0,7059.0,1069.0,27635.0,15.0,88794.0,0.3907245985089083
355030896,Lajeado,2040.25,1500.0,63568.0,21881.0,177.0,78461.0,101.0,164188.0,0.6111408872755622
