feature_id,geometry_type,x_31983,y_31983,longitude,latitude,cd_cep_equipamento,cd_equipamento,cd_equipamento_base_origem,cd_identificador,cd_identificador_classe_equipamento,cd_identificador_esfera_administrativa_equipamento,cd_identificador_rede_equipamento,cd_identificador_tema_equipamento,cd_identificador_tipo_equipamento,nm_bairro_equipamento,nm_classe_equipamento,nm_equipamento,nm_esfera_administrativa_equipamento,nm_rede_equipamento,nm_tema_equipamento,nm_tipo_equipamento,tx_classe_equipamento,tx_endereco_equipamento,tx_esfera_administrativa_equipamento,tx_horario_funcionamento,tx_numero_telefone,tx_rede_equipamento,tx_tipo_equipamento
equipamento_cemiterio.160029,Polygon,,,,,03635-000,,,160029,5,1,0,8,0,PENHA DE FRANÇA,CEMITERIO,PENHA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. AMADOR BUENO DA VEIGA, 333",ADMINISTRACAO MUNICIPAL,07h As 18h,2647-2947,Sem descrição,SEM TIPO
equipamento_cemiterio.160030,Polygon,,,,,02350-002,,,160030,5,1,0,8,0,VILA ALBERTINA,CEMITERIO,TREMEMBÉ,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. MARIA AMALIA LOPES AZEVEDO, 2930",ADMINISTRACAO MUNICIPAL,07h As 18h,2362-3734,Sem descrição,SEM TIPO
equipamento_cemiterio.160031,Polygon,,,,,05215-000,,,160031,5,1,0,8,0,PERUS,CEMITERIO,DOM BOSCO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"ESTRADA DO PINHEIRINHO, 860",ADMINISTRACAO MUNICIPAL,07h As 18h,3917-0893,Sem descrição,SEM TIPO
equipamento_cemiterio.160032,Polygon,,,,,02610-000,,,160032,5,1,0,8,0,VILA NOVA CACHOEIRINHA,CEMITERIO,VILA NOVA CACHOEIRINHA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. JOÃO MARCELINO BRANCO, S/N",ADMINISTRACAO MUNICIPAL,07h As 18h,3859-4583,Sem descrição,SEM TIPO
equipamento_cemiterio.160033,Polygon,,,,,05301-060,,,160033,5,1,0,8,0,VILA LEOPOLDINA,CEMITERIO,LAPA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. BERGSON, 347",ADMINISTRACAO MUNICIPAL,07h As 18h,3834-7936,Sem descrição,SEM TIPO
equipamento_cemiterio.160034,Polygon,,,,,01302-001,,,160034,5,1,0,8,0,CONSOLAÇÃO,CEMITERIO,CONSOLAÇÃO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA DA CONSOLAÇÃO, 1660",ADMINISTRACAO MUNICIPAL,07h As 18h,3256-5919,Sem descrição,SEM TIPO
equipamento_cemiterio.160035,Polygon,,,,,05846-080,,,160035,5,1,0,8,0,JARDIM CASABLANCA,CEMITERIO,SÃO LUIZ,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. ANTÔNIO DE SENA, 82",ADMINISTRACAO MUNICIPAL,07h As 18h,5511-1706,Sem descrição,SEM TIPO
equipamento_cemiterio.160036,Polygon,,,,,08265-150,,,160036,5,1,0,8,0,ITAQUERA,CEMITERIO,JARDIM DO PÊSSEGO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA IOSOSUKE OKAUE, 911",ADMINISTRACAO MUNICIPAL,08h As 17h,2522-9082,Sem descrição,SEM TIPO
equipamento_cemiterio.160037,Polygon,,,,,03361-000,,,160037,5,1,0,8,0,VILA FORMOSA,CEMITERIO,VILA FORMOSA 2,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. JOÃO XXIII, 2537",ADMINISTRACAO MUNICIPAL,07h As 18h,2783-1047,Sem descrição,SEM TIPO
equipamento_cemiterio.160038,Polygon,,,,,03366-010,,,160038,5,1,0,8,0,VILA FORMOSA,CEMITERIO,VILA FORMOSA 1,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. FLOR DE VILA FORMOSA, S/N",ADMINISTRACAO MUNICIPAL,07h As 18h,2781-3755,Sem descrição,SEM TIPO
equipamento_cemiterio.160039,Polygon,,,,,08451-000,,,160039,5,1,0,8,0,GUAIANASES,CEMITERIO,DO LAGEADO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"ESTRADA DO LAGEADO VELHO, 1490",ADMINISTRACAO MUNICIPAL,07h As 18h,2557-8174,Sem descrição,SEM TIPO
equipamento_cemiterio.160040,Polygon,,,,,08451-000,,,160040,5,1,0,8,0,GUAIANASES,CEMITERIO,DO LAGEADO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"ESTRADA DO LAGEADO VELHO, 1490",ADMINISTRACAO MUNICIPAL,07h As 18h,2557-8174,Sem descrição,SEM TIPO
equipamento_cemiterio.160041,Polygon,,,,,03227-000,,,160041,5,1,0,8,0,VILA ALPINA,CEMITERIO,SÃO PEDRO (VILA ALPINA),MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. FRANCISCO FALCONI, 837",ADMINISTRACAO MUNICIPAL,07h As 18h,2341-9774,Sem descrição,SEM TIPO
equipamento_cemiterio.160042,Polygon,,,,,03227-000,,,160042,5,1,0,8,0,VILA ALPINA,CEMITERIO,VILA ALPINA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. FRANCISCO FALCONI, 437",ADMINISTRACAO MUNICIPAL,24h,2345-5937,Sem descrição,SEM TIPO
equipamento_cemiterio.160043,Polygon,,,,,08360-090,,,160043,5,1,0,8,0,ITAQUERA,CEMITERIO,DO CARMO II,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. PROF. HASEGAWA, 776",ADMINISTRACAO MUNICIPAL,07h As 17h,2521-5887,Sem descrição,SEM TIPO
equipamento_cemiterio.160044,Polygon,,,,,08360-090,,,160044,5,1,0,8,0,ITAQUERA,CEMITERIO,DO CARMO I,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. PROF. HASEGAWA, 727",ADMINISTRACAO MUNICIPAL,07h As 17h,2521-5887,Sem descrição,SEM TIPO
equipamento_cemiterio.160045,Polygon,,,,,05706-290,,,160045,5,1,0,8,0,MORUMBI,CEMITERIO,DO MORUMBY,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. DEP. LAÉRCIO CORTE, 468",ADMINISTRACAO MUNICIPAL,07h As 18h,3759-1000,Sem descrição,SEM TIPO
equipamento_cemiterio.160046,Polygon,,,,,05706-290,,,160046,5,1,0,8,0,MORUMBI,CEMITERIO,DO MORUMBY,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. DEP. LAÉRCIO CORTE, 468",ADMINISTRACAO MUNICIPAL,07h As 18h,3759-1000,Sem descrição,SEM TIPO
