unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area,nome_geosampa,endereco_geosampa,bairro_geosampa,cep_geosampa,feature_ids_geosampa,numero_feicoes,classificacao_preliminar,status_validacao
cemiterio_particular_candidato,priv_geosampa_08,Cemitério Dos Protestantes,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2489185.15,169,168,1,651,99.03,74.96,12733.0,7773.5,16691.0,4384.0,44673.0,12573.5,12917.6,DOS PROTESTANTES,"RUA SERGIPE, 177",CONSOLAÇÃO,01243-001,equipamento_cemiterio.160009,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_09,Cemitério Gethsemani Morumbi,cemiterio_particular_candidato,,,,,,0-250m,0,250,588330.89,42,42,0,166,100.0,86.25,1397.0,632.25,1724.5,579.0,2315.0,1316.0,1425.35,GETHSEMANI MORUMBI,"PRACA DA RESSUREICÃƒO, 1",VILA SONIA,05625-170,equipamento_cemiterio.160014,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_09,Cemitério Gethsemani Morumbi,cemiterio_particular_candidato,,,,,,250-500m,250,500,978327.27,91,91,0,343,100.0,80.3,1673.0,1000.0,1822.0,531.0,3029.0,1657.0,1521.97,GETHSEMANI MORUMBI,"PRACA DA RESSUREICÃƒO, 1",VILA SONIA,05625-170,equipamento_cemiterio.160014,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_09,Cemitério Gethsemani Morumbi,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3131994.61,197,196,1,787,99.84,80.45,1807.0,1301.0,2001.0,531.0,3177.0,1809.25,1637.69,GETHSEMANI MORUMBI,"PRACA DA RESSUREICÃƒO, 1",VILA SONIA,05625-170,equipamento_cemiterio.160014,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_10,Cemitério Horto Florestal,cemiterio_particular_candidato,,,,,,0-250m,0,250,500718.65,32,29,3,108,56.41,89.17,742.0,703.5,1252.0,409.0,1863.0,726.0,831.05,HORTO FLORESTAL,"RUA LUIZ NUNES, 111",PARQUE RAMOS FREITAS,02353-100,equipamento_cemiterio.160008,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_10,Cemitério Horto Florestal,cemiterio_particular_candidato,,,,,,250-500m,250,500,888975.79,72,67,5,262,52.07,87.31,1164.0,950.5,1330.25,409.0,1953.0,1095.0,1078.27,HORTO FLORESTAL,"RUA LUIZ NUNES, 111",PARQUE RAMOS FREITAS,02353-100,equipamento_cemiterio.160008,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_10,Cemitério Horto Florestal,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2947491.19,155,146,9,622,58.41,86.09,1340.0,1248.0,1752.0,320.0,2371.0,1321.5,1481.77,HORTO FLORESTAL,"RUA LUIZ NUNES, 111",PARQUE RAMOS FREITAS,02353-100,equipamento_cemiterio.160008,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_11,Cemitério Israelita de São Paulo,cemiterio_particular_candidato,,,,,,0-250m,0,250,346095.66,38,38,0,153,100.0,73.7,5241.0,3787.0,5757.0,2200.0,8233.0,5087.5,4043.34,ISRAELITA DE SÃO PAULO,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",JARDIM-EDUCANDARIO,05564-100,equipamento_cemiterio.160011,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_11,Cemitério Israelita de São Paulo,cemiterio_particular_candidato,,,,,,250-500m,250,500,737808.02,71,71,0,335,100.0,75.11,5038.0,3908.0,5636.5,2200.0,13854.0,5104.5,4880.4,ISRAELITA DE SÃO PAULO,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",JARDIM-EDUCANDARIO,05564-100,equipamento_cemiterio.160011,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_11,Cemitério Israelita de São Paulo,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2651642.79,197,196,1,860,99.99,74.28,5118.0,3826.75,5888.25,1395.0,14326.0,5213.5,5174.02,ISRAELITA DE SÃO PAULO,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",JARDIM-EDUCANDARIO,05564-100,equipamento_cemiterio.160011,1,particular_associativo_religioso_ou_nao_concessionado,pendente
