CD_DIST,NM_DIST,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411
355030832,Moema,69951,1578,3596,6538,15,31643,633,1509,3099,3,38308,692,1904,3398,0,31983,613,1618,2969,0,15742,16241,231,164,655,647,1563,1258,0,0,0,536,8002,11185,12040,0,0,115,130,20,0,0,218,414,446,0,15,920,1156,337,0,0,0,0,0,8860,38,221,683,3,10941,148,313,1169,0,31220,772,1580,3533,3,18922,111,963,676,0,3012,3,34,97,0,28591,587,1374,2850,0,2885,12,21,119,0,35373,641,1782,3112,0
355030833,Iguatemi,61893,19111,188,68195,107,29014,9694,53,33540,20,32867,9407,74,34655,35,19832,7601,31,23645,25,9297,10519,3733,3844,0,6,11437,12192,4,6,14,957,5245,8373,4988,0,319,2449,3169,1313,0,0,0,0,0,17,1229,7186,10151,4872,0,0,3,3,0,14427,2926,14,14828,3,14423,4931,15,16723,3,24751,8969,38,28890,14,8241,2171,13,7726,3,4959,784,3,5014,0,24044,8746,35,28510,19,4896,803,3,4560,0,27960,8471,64,30076,19
355030834,Ipiranga,75665,7390,5081,27422,93,34353,3657,2340,13187,27,41311,3650,2673,14233,40,30255,3080,2033,10710,14,14469,15783,1378,1518,1034,835,5002,5666,3,0,10,711,7186,11557,10570,3,109,915,1081,461,0,6,334,674,623,14,521,3542,4411,1890,0,0,0,3,0,11024,789,484,4945,10,13132,1682,600,6622,9,33544,3622,2322,12541,29,17952,889,1326,3160,0,3883,188,116,1518,0,30448,3343,2148,11538,23,3608,147,111,1467,0,37684,3353,2487,12632,29
355030835,Itaim Bibi,85951,2192,3752,9292,18,39660,913,1589,4450,3,46291,976,1938,4793,6,40990,749,1715,4128,0,20143,20843,277,283,717,626,2056,1886,0,0,9,1156,13266,13049,13228,0,6,143,186,46,0,0,310,358,355,0,60,1559,1364,450,0,0,0,0,0,10260,109,194,1050,0,14766,379,337,1931,0,40079,974,1640,4837,3,20830,144,883,964,0,3719,9,30,218,0,35887,849,1462,4057,3,3487,12,25,229,0,42735,911,1793,4386,6
355030836,Itaim Paulista,84526,26743,585,93105,113,39058,13236,201,44695,40,45468,13503,241,48410,31,27130,10617,118,32761,27,11935,15183,4643,5934,39,20,14698,18059,9,3,12,936,6859,11317,7646,3,348,3011,4355,2415,0,0,6,12,43,33,1308,8697,14116,8296,0,0,0,8,0,18756,3741,18,18492,3,19068,6462,22,21829,6,33931,12460,143,39819,37,12754,3955,149,12958,3,6446,938,0,6008,0,32603,12054,164,38672,29,6411,874,4,5745,0,39048,12395,220,42643,29
355030837,Itaquera,102122,27319,1672,79430,91,46717,13375,680,38293,33,55405,13941,776,41137,31,34807,10904,574,28452,9,16270,18535,5099,5783,226,153,13669,14781,0,3,31,1175,8470,14417,10418,0,225,3039,4615,2569,0,0,38,64,185,6,1079,7530,12578,6976,0,0,0,0,0,19373,3685,25,14567,7,22189,6300,109,18764,16,43027,13071,536,34961,22,17531,4177,516,11131,3,6661,956,6,4780,3,40050,12209,616,33487,19,6415,946,6,4513,0,48981,12789,735,36605,30
355030838,Jabaquara,115314,24259,9521,65495,144,52537,11569,4225,31318,23,62776,12559,5175,34174,45,44059,9824,4211,24444,19,20562,23489,4170,5409,1943,1982,11025,13357,0,7,34,1235,10725,17324,14213,4,358,2681,3710,2207,0,4,355,1334,1929,62,1110,6996,10078,5569,0,0,0,3,0,17881,2905,529,11900,0,22246,5633,871,15495,10,50798,11319,3852,28742,31,24363,3836,3642,9157,3,6063,709,73,3828,0,46401,10583,3987,27314,15,5668,717,98,3429,0,57030,11579,4914,30548,39
355030839,Jaçanã,46228,10270,691,29541,88,20985,4925,249,14212,36,25243,5340,340,15329,30,16020,3944,253,10127,13,7089,8928,1634,2281,82,81,4470,5653,6,0,22,547,3404,6173,5692,3,143,1064,1548,975,0,0,3,27,90,22,478,2792,4203,2474,0,0,0,0,3,8393,1425,9,5887,9,9208,2425,73,7257,11,18818,4662,179,12230,25,9800,1700,225,4152,5,2833,375,3,1952,0,18147,4441,236,12234,31,2805,316,0,1841,0,22431,4927,331,13455,20
355030840,Jaguara,15749,1900,309,6750,3,7280,941,130,3283,0,8469,959,124,3467,0,5745,775,94,2567,0,2478,3267,356,406,33,22,1172,1395,0,0,6,171,1262,2082,2177,0,14,167,312,170,0,0,0,12,35,0,101,715,1075,618,0,0,0,0,0,2395,168,10,1134,0,2791,384,6,1481,0,6695,948,105,3060,0,3868,347,97,1075,0,831,26,0,351,0,6449,878,126,2919,0,792,27,0,346,0,7677,904,112,3113,0
355030841,Jaguaré,30862,5142,1605,17671,45,14222,2568,747,8546,10,16640,2559,819,9125,12,11773,2063,677,6488,3,5552,6221,932,1074,354,262,2844,3642,0,3,11,452,3167,4660,3395,0,110,651,783,279,0,0,42,196,269,13,419,2132,2678,1074,0,0,0,3,0,5283,697,72,3525,0,6157,1395,122,4582,0,13657,2391,691,7729,9,5762,518,552,1796,0,1802,190,3,1052,0,12406,2313,718,7429,3,1773,158,6,1176,0,14855,2332,782,7901,3
