CD_DIST,NM_DIST,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_NU,NM_NU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,AREA_KM2,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009
355030884,Vila Curuçá,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,5019238",140673,54869,54852,17,"2,9","0,1728",48906,396,5550
355030885,Vila Formosa,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,4983761",92186,40616,40600,16,"2,6","0,1005",35237,395,4968
355030886,Vila Guilherme,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,2313342",52587,24265,24253,12,"2,6","0,1213",20363,375,3515
355030887,Vila Jacuí,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,2113123",134189,51896,51889,7,"2,9","0,1777",46570,431,4888
355030888,Vila Leopoldina,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"6,9887328",46875,20673,20639,34,"2,4","0,1196",18694,294,1651
355030889,Vila Maria,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"11,7902422",108543,47632,47615,17,"2,6","0,1927",41908,329,5378
355030890,Vila Mariana,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,5233433",127286,70691,70458,233,"2,2","0,0935",57968,2928,9562
355030891,Vila Matilde,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,8985478",103558,45322,45273,49,"2,7","0,1222",38639,399,6235
355030892,Vila Medeiros,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,8759231",114939,48273,48265,8,"2,7","0,1371",41906,483,5876
355030893,Vila Prudente,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,5802426",105690,49782,49760,22,"2,5","0,0388",42186,573,7001
355030894,Vila Sônia,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"10,0666925",123748,53826,53805,21,"2,6","0,1339",47478,1019,5308
355030895,São Domingos,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,9145903",88884,37746,37718,28,"2,7","0,1577",32793,375,4550
355030896,Lajeado,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,9026023",164391,63066,63059,7,"2,9","0,1654",56341,483,6235
